"","X1","X2","value","SigStar"
"141","34","X35",0.659245942801434,NA
"142","38","X35",-0.659139794875621,NA
"143","41","X35",-0.133871495658475,NA
"144","1","X35",-3.1675928721567,NA
"145","12","X35",-3.62490594889497,NA
"146","28","X35",-1.47628399346489,NA
"147","29","X35",-3.78912343957686,NA
"148","30","X35",-2.04240524148224,NA
"149","31","X35",-4.75484590343696,NA
"150","32","X35",-3.50780051432898,NA
"151","39","X35",-3.27755159561731,NA
"152","2","X35",-1.93234127701553,NA
"153","6","X35",0.0413557851831213,NA
"154","8","X35",-0.361954280663892,NA
"155","13","X35",-2.30479223534843,NA
"156","4","X35",-0.980486495854382,NA
"157","5","X35",-0.914180161942948,NA
"158","17","X35",-0.913821840374491,NA
"159","7","X35",-0.715837664737751,NA
"160","9","X35",2.60145106640311,NA
"161","10","X35",0.290677472926605,NA
"162","16","X35",-0.118262669930518,NA
"163","19","X35",0.292720296448652,NA
"164","20","X35",-0.0133752874265347,NA
"165","21","X35",-3.79930621507368,NA
"166","24","X35",-0.457593399220091,NA
"167","25","X35",-0.206439991449732,NA
"168","33","X35",-0.38838025541598,NA
"169","11","X36",-4.18783672937336,NA
"170","22","X36",-4.78757847483006,NA
"171","26","X36",-2.62240999371725,NA
"172","35","X36",-1.83747848971913,NA
"173","36","X36",NA,NA
"174","37","X36",-11.2543292768129,"*"
"175","40","X36",0.521229408303173,NA
"176","42","X36",0.889367975709361,NA
"177","3","X36",-0.15154316085213,NA
"178","14","X36",-0.172236447292074,NA
"179","15","X36",1.97663845179752,NA
"180","18","X36",-2.08552283782853,NA
"181","23","X36",-4.39351791094049,NA
"182","27","X36",-0.744733526964286,NA
"183","34","X36",0.952468874546859,NA
"184","38","X36",-0.107792273654061,NA
"185","41","X36",3.53331368656981,NA
"186","1","X36",-4.50270968090133,NA
"187","12","X36",-0.334182300399715,NA
"188","28","X36",-2.71195466960696,NA
"189","29","X36",0.131035606769197,NA
"190","30","X36",-0.176999039164155,NA
"191","31","X36",-2.3587554220957,NA
"192","32","X36",-1.20885523445248,NA
"193","39","X36",-4.95751065969115,"*"
"194","2","X36",-3.78402201125251,NA
"195","6","X36",-2.01295815393694,NA
"196","8","X36",-2.53647787990441,NA
"197","13","X36",-1.54549745842173,NA
"198","4","X36",-7.78681093542863,"*"
"199","5","X36",-3.53843752657764,NA
"200","17","X36",-6.09358630105175,"*"
"201","7","X36",-6.03953555831942,"*"
"202","9","X36",-2.91538995162381,NA
"203","10","X36",-4.63792452687338,NA
"204","16","X36",-8.46580246079077,"*"
"205","19","X36",-6.82288433146613,"*"
"206","20","X36",-2.54285281553444,NA
"207","21","X36",-18.3601968579164,"*"
"208","24","X36",-8.95327321967339,"*"
"209","25","X36",-7.66663044059394,"*"
"210","33","X36",-11.5246570336934,"*"
