"","CS_num","Group","Mean","SD"
"1","CS #1","Control",136.460132890365,55.7916784685529
"2","CS #1","PTSD",140.454138702461,55.1715792875631
"3","CS #2","Control",64.5398671096346,55.7916784685529
"4","CS #2","PTSD",60.5458612975391,55.1715792875631
