C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
1,0.289221585628317,0.24260332028045,0.240709257134866,0.163924041485701,0.294517455836277,0.202226267651412,0.313014121941747,0.212924968762845,0.26977412701513,0.0817837082647814,0.217843948869087,0.296236677170711,0.271018194057619,0.235436490492557,0.272378063358814,0.189425866449655,0.27679971662407,0.260446796942999,0.232214916473718,0.151027671125153,0.283557481621473,0.203502212218678,0.228754700072285,0.211499670044205,0.342768246754705,0.289682985291175,0.229310871017594,0.192838108744858,0.220041954320665,0.346916592697986,0.224363207419842,0.24736120466661,0.184793092803264,0.223428629622675,0.214832839006488,0.212796552737112,0.368923095917345,0.41553271269491,0.141889120876035,0.188488444975765,0.253394615021856
0.289221585628317,1,0.226213360540724,0.218056490561154,0.115046242574392,0.547071998846133,0.213965559145354,0.533049456195629,0.228253820948859,0.305460454704088,0.0929406288650983,0.182193148412088,0.494739618376628,0.363628565788487,0.241976191756959,0.305521531629417,0.220137168432919,0.269113675505549,0.301425947698319,0.351479765677128,0.152735864509607,0.239461334522196,0.220881570178261,0.227700154622811,0.245906127306544,0.22344026519435,0.253357999839732,0.257581346301152,0.203469530960525,0.204682230997338,0.512304420183127,0.202633142490682,0.253193982470325,0.296354113538619,0.201493806595495,0.285326007015102,0.276644025920236,0.2867711371556,0.431948143880367,0.205807097159764,0.22424470681483,0.219921416213309
0.24260332028045,0.226213360540724,1,0.170114018768876,0.114052533682253,0.246885956195809,0.150143292964401,0.246258676110754,0.138698119621918,0.19110619658799,0.03150586427456,0.220829744113361,0.255520879649393,0.304157871986245,0.50143141917598,0.184787510854086,0.280343802522451,0.250820056230283,0.18935424477184,0.18814065363979,0.101832903165376,0.287201412666956,0.217256704777726,0.176927331075166,0.173063378979611,0.211383364865933,0.502524362197599,0.158628338830171,0.17508657611647,0.156184755622641,0.259817249654405,0.231750169910371,0.183497549179792,0.334073539944222,0.179902585063756,0.264707687700044,0.171991281614615,0.394164532030596,0.200473291481884,0.298943191416774,0.361062642242518,0.316467773071329
0.240709257134866,0.218056490561154,0.170114018768876,1,0.234314794335548,0.199028394170809,0.13905706046106,0.190961191395287,0.123586680026431,0.2046598346325,0.0719831792293205,0.13617637634148,0.205405272541948,0.176390881818587,0.156085183876859,0.191600793997222,0.179387129626016,0.248483417952997,0.171703223808771,0.164425472494122,0.100430142448425,0.203392180229074,0.204771075189119,0.15352049066551,0.136101233384459,0.178085683682625,0.228480529276185,0.212021039618548,0.151974248739266,0.13887995319339,0.273726419381413,0.161150000030501,0.166397292880723,0.135597759736597,0.206347576528027,0.18445746221265,0.196318323636403,0.202752350814022,0.266666458493445,0.130114782181243,0.116394591357568,0.105073624814258
0.163924041485701,0.115046242574392,0.114052533682253,0.234314794335548,1,0.112424959065777,0.131208917333639,0.133483908687849,0.106798604307413,0.154688532931861,0.0557156413325559,0.0944570843611707,0.183185775691317,0.143524109452954,0.157880818592543,0.192571163122587,0.261522927452629,0.195282350395967,0.164758477004833,0.0715123005138567,0.22746979619894,0.191623925664661,0.225941765009737,0.212141613760746,0.110855863560781,0.153959537576299,0.212738483964468,0.0989789316175649,0.0873245115915349,0.0816409353707782,0.185174067414032,0.104105514161512,0.22461311729441,0.120396521943567,0.153778042468384,0.22782990903781,0.218055648181618,0.178508695491507,0.208231996929628,0.137931395670496,0.15790736625615,0.129047133187856
0.294517455836277,0.547071998846133,0.246885956195809,0.199028394170809,0.112424959065777,1,0.238070475318966,0.652289112753955,0.289373988378393,0.329879380203671,0.101364579335683,0.191488153545643,0.59375259677965,0.401006491327143,0.266277578457035,0.336033245286808,0.24790458257651,0.223037113889639,0.367392423759019,0.419785083174933,0.165688082510112,0.242596754867534,0.247592957321932,0.260537176858586,0.29378991444708,0.221511941359279,0.259208805519693,0.237834851729802,0.206585927769862,0.19525270886166,0.456070488649316,0.219584053763092,0.292354740905713,0.322699226183125,0.197645927082711,0.324631033767676,0.331749826984748,0.301711733974851,0.396138245155101,0.228584848709604,0.255977587072796,0.213084218208504
0.202226267651412,0.213965559145354,0.150143292964401,0.13905706046106,0.131208917333639,0.238070475318966,1,0.2370857241281,0.28552740289291,0.289417806028099,0.0765354348617508,0.123717901513589,0.230936908797611,0.255020151724972,0.172175972948122,0.25468367317614,0.17101793378145,0.163286175592252,0.271472204945981,0.299264910057649,0.336718645944635,0.215650385644927,0.194505278447052,0.51911936633096,0.436045955900564,0.187132429924513,0.167269071531663,0.150636776500368,0.152228465806142,0.111678647392204,0.228774128484822,0.141102844747554,0.550229260664863,0.183975299212607,0.166775648800199,0.249497914107508,0.243336275790984,0.19056962285056,0.224565789634366,0.155037508936315,0.186639565374146,0.145795382104956
0.313014121941747,0.533049456195629,0.246258676110754,0.190961191395287,0.133483908687849,0.652289112753955,0.2370857241281,1,0.297829439519811,0.347309692491504,0.109848917923437,0.193586882190152,0.577219166146508,0.399153415475717,0.269536892790135,0.362517477602649,0.26370334343656,0.235442059193609,0.368556298895678,0.426389028824457,0.17824112479846,0.26024390334945,0.251306451587317,0.261827767932865,0.313090314938818,0.245652656268681,0.266542244427427,0.258407373759837,0.228733681952697,0.20143747997802,0.479307272416101,0.231526124934945,0.281698695917202,0.310452965740423,0.215407135498306,0.32244121467577,0.331798180275184,0.302475328742819,0.42890764301457,0.20622970234889,0.249575223634028,0.227993633664766
0.212924968762845,0.228253820948859,0.138698119621918,0.123586680026431,0.106798604307413,0.289373988378393,0.28552740289291,0.297829439519811,1,0.596556960070568,0.0826289340392209,0.136341643169912,0.270165251270898,0.43966648358489,0.171419855253707,0.489694170486851,0.154530585865771,0.153576924505763,0.763291476786876,0.404199309841477,0.253185406897578,0.205613105960989,0.258018345726619,0.50220686909098,0.498241225696705,0.184700854432459,0.165647619123732,0.165548112021057,0.160683249673352,0.132672187355672,0.267622153027079,0.163566049975308,0.449705710359848,0.24210986536618,0.165824721949005,0.285122469421499,0.339092022152284,0.175528772351576,0.254933546146719,0.136731149208658,0.161081759302412,0.130661780739022
0.26977412701513,0.305460454704088,0.19110619658799,0.2046598346325,0.154688532931861,0.329879380203671,0.289417806028099,0.347309692491504,0.596556960070568,1,0.119025704750502,0.181187839593069,0.304491506776198,0.608291985300702,0.215685454149516,0.670931532263198,0.204453258505493,0.266037052922469,0.610596732423648,0.471460198857099,0.233940133170295,0.242563221133111,0.37659253631094,0.51471467599712,0.441045168867613,0.215868466941378,0.225562637876673,0.229919443793437,0.203559948812219,0.179727577436054,0.368534279456391,0.208752771056986,0.448757280296131,0.358180085483229,0.233083646782084,0.353455128644696,0.388151394559572,0.227046645055938,0.339846315243277,0.183735750664186,0.214745741792134,0.168195587567823
