ID,Num_Indiv_Modules
PGC_MIL_1270,3
PGC_MIL_1271,5
PGC_MIL_1272,3
PGC_MIL_1273,3
PGC_MIL_1274,4
PGC_MIL_1275,5
PGC_MIL_1276,3
PGC_MIL_1277,3
PGC_MIL_1278,3
PGC_MIL_1279,3
PGC_MIL_969,4
PGC_MIL_970,3
PGC_MIL_971,5
PGC_MIL_972,2
PGC_MIL_973,3
PGC_MIL_974,3
PGC_MIL_975,5
PGC_MIL_976,4
PGC_MIL_977,4
PGC_MIL_978,4
PGC_MIL_979,4
PGC_MIL_980,3
PGC_MIL_981,3
PGC_MIL_982,3
PGC_MIL_983,4
PGC_MIL_984,4
PGC_MIL_985,5
PGC_MIL_986,3
PGC_MIL_987,3
PGC_MIL_989,3
PGC_MIL_990,4
PGC_MIL_991,3
PGC_MIL_992,3
PGC_MIL_993,3
PGC_MIL_994,3
PGC_MIL_995,3
PGC_MIL_996,3
PGC_MIL_997,4
PGC_MIL_998,4
PGC_MIL_999,4
PGC_MIN_588,2
PGC_MIN_636,3
PGC_MIN_661,3
PGC_MIN_663,3
PGC_MIN_664,4
PGC_MIN_666,2
PGC_MIN_667,4
PGC_MIN_668,4
PGC_MIN_669,3
PGC_MIN_670,4
PGC_MIN_671,4
PGC_MIN_672,4
PGC_MIN_674,3
PGC_MIN_675,4
PGC_MIN_676,4
PGC_MIN_677,4
PGC_MIN_678,2
PGC_MIN_679,4
PGC_MIN_680,3
PGC_MIN_681,2
PGC_MIN_682,3
PGC_MIN_683,4
PGC_MIN_684,3
PGC_MIN_685,4
PGC_MIN_686,3
PGC_MIN_687,4
PGC_MIN_688,2
PGC_MIN_689,5
PGC_MIN_690,3
PGC_MIN_691,2
PGC_MIN_692,4
PGC_MIN_693,2
PGC_MIN_694,4
PGC_MIN_695,4
PGC_MIN_696,3
PGC_MIN_697,4
PGC_MIN_698,4
PGC_MIN_699,3
PGC_MIN_700,2
PGC_MIN_701,2
PGC_MIN_702,3
PGC_MIN_703,3
PGC_MIN_704,4
PGC_MIN_705,4
PGC_MIN_706,3
PGC_MIN_707,5
PGC_MIN_708,3
PGC_MIN_709,4
PGC_MIN_710,3
PGC_MIN_711,3
PGC_MIN_712,3
PGC_MIN_713,3
PGC_MIN_714,4
PGC_MIN_715,4
PGC_MIN_716,4
PGC_MIN_717,4
PGC_MIN_718,3
PGC_MIN_719,2
PGC_MIN_720,3
PGC_MIN_721,4
PGC_MIN_722,4
PGC_MIN_723,3
PGC_MIN_724,3
PGC_MIN_725,4
PGC_MIN_726,4
PGC_MIN_727,2
PGC_MIN_728,3
PGC_MIN_729,3
PGC_MIN_730,3
PGC_MIN_731,4
PGC_MIN_732,4
PGC_MIN_733,3
PGC_MIN_734,4
PGC_MIN_735,4
PGC_MIN_737,4
PGC_MIN_738,3
PGC_MIN_739,3
PGC_MIN_740,3
PGC_MIN_741,2
PGC_MIN_742,3
PGC_MIN_743,2
PGC_MIN_744,4
PGC_MIN_745,3
PGC_MIN_746,4
PGC_MIN_747,3
PGC_MIN_748,4
PGC_MIN_749,3
PGC_MIN_750,2
PGC_MIN_751,3
PGC_MIN_752,3
PGC_MIN_753,4
PGC_MIN_754,3
PGC_MIN_755,2
PGC_MIN_756,4
PGC_MIN_757,3
PGC_MIN_758,5
PGC_MIN_760,4
PGC_MIN_762,4
PGC_MIN_763,4
PGC_MIN_781,3
PGC_MIN_782,3
PGC_MIN_783,3
PGC_MIN_784,4
PGC_MIN_785,3
PGC_MIN_786,4
PGC_MIN_790,3
PGC_MIN_791,5
PGC_MIN_792,4
PGC_NAN_SD1003,3
PGC_NAN_SD1004,3
PGC_NAN_SD1019,5
PGC_NAN_SD1021,3
PGC_NAN_SD1022,3
PGC_NAN_SD1026,3
PGC_NAN_SD1034,2
PGC_NAN_SD1038,3
PGC_NAN_SD1040,3
PGC_NAN_SD1041,4
PGC_NAN_SD1049,3
PGC_NAN_SD1053,4
PGC_NAN_SD1054,3
PGC_NAN_SD1055,3
PGC_NAN_SD1068,3
PGC_NAN_SD1069,4
PGC_NAN_SD1071,4
PGC_NAN_SD1072,4
PGC_NAN_SD1076,3
PGC_NAN_SD1077,3
PGC_NAN_SD1085,3
PGC_NAN_SD1091,3
PGC_NAN_SD1097,3
PGC_NAN_SD1099,2
PGC_NAN_SD1100,4
PGC_NAN_SD1105,3
PGC_NAN_SD1106,4
PGC_NAN_SD1107,3
PGC_NAN_SD1108,4
PGC_NAN_SD1113,3
PGC_NAN_SD1120,4
PGC_NAN_SD1122,4
PGC_NAN_SD1123,4
PGC_NAN_SD1128,2
PGC_NAN_SD1129,3
PGC_NAN_SD1130,2
PGC_NAN_SD1131,3
PGC_NAN_SD1143,3
PGC_NAN_SD1144,4
PGC_NAN_SD1151,3
PGC_NAN_SD1152,2
PGC_NAN_SD1155,4
PGC_NAN_SD1156,3
PGC_NAN_SD1160,4
PGC_NAN_SD1165,2
PGC_NAN_SD1170,2
PGC_NAN_SD1174,3
PGC_NAN_SD1177,3
PGC_NAN_SD1178,4
PGC_NAN_SD1179,3
PGC_NAN_SD1180,4
PGC_NAN_SD1181,3
PGC_NAN_SD1182,4
PGC_NAN_SD1186,3
PGC_NAN_SD1187,4
PGC_NAN_SD1213,3
PGC_NAN_SD1216,3
PGC_NAN_SD1218,4
PGC_NAN_SD1226,4
PGC_NAN_SD1227,4
PGC_NAN_SD1240,3
PGC_NAN_SD1244,3
PGC_NAN_SD1245,2
PGC_NAN_SD1248,3
PGC_NAN_SD1250,2
PGC_NAN_SD1256,5
PGC_NAN_SD1257,5
PGC_NAN_SD1260,3
PGC_NAN_SD1261,2
PGC_NAN_SD1262,3
PGC_NAN_SD1267,4
PGC_NAN_SD1274,4
PGC_NAN_SD1275,4
PGC_NAN_SD1281,4
PGC_NAN_SD1282,3
PGC_NAN_SD1283,2
PGC_NAN_SD1286,3
PGC_NAN_SD1295,4
PGC_NAN_SD1297,3
PGC_NAN_SD1298,4
PGC_NAN_SD1302,3
PGC_NAN_SD1303,2
PGC_NAN_SD1304,4
PGC_NAN_SD1305,3
PGC_NAN_SD1316,3
PGC_NAN_SD1325,2
PGC_NAN_SD1329,2
PGC_NAN_SD1330,3
PGC_NAN_SD1341,3
PGC_NAN_SD1342,2
PGC_NAN_SD1343,3
PGC_NAN_SD1344,4
PGC_NAN_SD1346,3
PGC_NAN_SD1347,3
PGC_NAN_SD1348,4
PGC_NAN_SD1349,2
PGC_NAN_SD1352,3
PGC_NAN_SD1353,2
PGC_NAN_SD1354,4
PGC_NAN_SD1355,4
PGC_NAN_SD1357,4
PGC_NAN_SD1358,2
PGC_NAN_SD1361,3
PGC_NAN_SD1365,3
PGC_NAN_SD1371,4
PGC_NAN_SD1373,3
PGC_NAN_SD1380,3
PGC_NAN_SD1382,3
PGC_NAN_SD1392,2
PGC_NAN_SD1393,4
PGC_NAN_SD1403,4
PGC_NAN_SD1407,3
PGC_NAN_SD1410,4
PGC_NAN_SD1420,3
PGC_NAN_SD1422,3
PGC_NAN_SD1423,4
PGC_NAN_SD1425,3
PGC_NAN_SD1427,4
PGC_NAN_SD1428,3
PGC_NAN_SD1433,3
PGC_NAN_SD1440,3
PGC_NAN_SD1449,4
PGC_NAN_SD1450,4
PGC_NAN_SD1456,4
PGC_NAN_SD1457,3
PGC_NAN_SD1458,3
PGC_NAN_SD1469,3
PGC_NAN_SD1471,4
PGC_NAN_SD1475,3
PGC_NAN_SD1476,4
PGC_NAN_SD1477,4
PGC_NAN_SD1478,2
PGC_NAN_SD1479,4
PGC_NAN_SD1482,3
PGC_NAN_SD1486,4
PGC_NAN_SD1487,3
PGC_NAN_SD1493,3
PGC_NAN_SD1496,3
PGC_STA_336,3
PGC_STA_337,3
PGC_STA_338,4
PGC_STA_339,3
PGC_STA_340,5
PGC_STA_342,4
PGC_STA_343,4
PGC_STA_344,2
PGC_STA_345,4
PGC_STA_346,3
PGC_STA_347,3
PGC_STA_348,2
PGC_STA_349,4
PGC_STA_351,3
PGC_STA_352,2
PGC_STA_353,4
PGC_STA_354,3
PGC_STA_355,3
PGC_STA_356,2
PGC_STA_357,4
PGC_STA_358,4
PGC_STA_359,3
PGC_STA_360,2
PGC_STA_361,4
PGC_STA_362,3
PGC_STA_363,4
PGC_STA_364,3
PGC_STA_365,3
PGC_STA_366,3
PGC_STA_367,4
PGC_STA_368,3
PGC_STA_369,3
PGC_STA_370,4
PGC_STA_371,4
PGC_STA_372,4
PGC_STA_373,3
PGC_STA_374,4
PGC_STA_376,4
PGC_STA_377,6
PGC_STA_378,4
PGC_STA_379,4
PGC_STA_380,3
PGC_STA_381,4
PGC_STA_382,4
PGC_STA_383,4
PGC_STA_385,3
PGC_STA_386,2
PGC_STA_387,3
PGC_STA_388,4
PGC_STA_390,4
PGC_STA_391,2
PGC_STA_392,3
PGC_STA_393,4
PGC_STA_394,3
PGC_STA_395,3
PGC_STA_396,3
PGC_STA_397,3
PGC_STA_398,3
PGC_STA_399,4
PGC_STA_400,4
PGC_STA_401,4
PGC_STA_402,3
PGC_STA_403,2
PGC_STA_404,4
PGC_STA_405,4
PGC_STA_406,2
PGC_STA_407,4
PGC_STA_409,3
PGC_STA_411,4
PGC_STA_412,2
PGC_STA_414,3
PGC_STA_415,4
PGC_STA_416,3
PGC_STA_418,4
PGC_STA_419,3
PGC_STA_420,4
PGC_STA_421,4
PGC_STA_423,3
PGC_STA_424,2
PGC_STA_425,3
PGC_STA_426,3
PGC_STA_427,4
PGC_STA_430,3
PGC_STA_432,2
PGC_STA_433,3
PGC_STA_434,3
PGC_STA_435,3
PGC_STA_436,3
PGC_STA_439,3
PGC_STA_440,4
PGC_STA_441,4
PGC_STA_442,4
PGC_STA_443,3
PGC_STA_445,4
PGC_STA_447,3
PGC_STA_449,2
PGC_STA_450,3
PGC_STA_452,4
PGC_STA_453,2
PGC_STA_454,4
PGC_STA_455,4
PGC_STA_456,3
PGC_STA_457,2
PGC_STA_458,3
PGC_STA_459,3
PGC_STA_461,2
PGC_STA_462,3
PGC_STA_463,3
PGC_STA_464,4
PGC_STA_465,3
PGC_STA_466,4
PGC_STA_467,4
PGC_STA_472,4
PGC_STA_473,4
PGC_STA_475,3
PGC_STA_477,4
PGC_STA_478,4
PGC_STA_479,3
PGC_STA_481,5
PGC_STA_483,5
PGC_STA_484,5
PGC_STA_485,4
PGC_STA_486,3
PGC_STA_487,4
PGC_STA_491,2
PGC_STA_493,3
PGC_STA_494,4
PGC_STA_495,4
PGC_STA_496,3
PGC_STA_497,3
PGC_STA_498,2
PGC_STA_499,4
PGC_STA_500,3
PGC_STA_502,3
PGC_STA_504,5
PGC_STA_507,4
PGC_STA_510,4
PGC_STA_511,2
PGC_STA_512,3
PGC_STA_513,3
PGC_STA_514,4
PGC_STA_515,3
PGC_STA_516,3
PGC_STA_517,3
PGC_STA_518,3
PGC_STA_519,4
PGC_STA_520,5
PGC_STA_522,2
PGC_STA_523,3
PGC_STA_524,2
PGC_STA_525,3
PGC_STA_526,3
PGC_STA_527,4
PGC_STA_528,4
PGC_STA_529,2
PGC_STA_531,3
PGC_STA_532,5
PGC_STA_533,3
PGC_STA_534,3
PGC_STA_535,4
PGC_STA_536,3
PGC_STA_537,4
PGC_STA_538,3
PGC_STA_539,2
PGC_STA_540,4
PGC_STA_541,4
PGC_TOL_MVA01RB,3
PGC_TOL_MVA03YB,3
PGC_TOL_MVA04ZB,4
PGC_TOL_MVA07NB,4
PGC_TOL_MVA105NB,4
PGC_TOL_MVA112NB,4
PGC_TOL_MVA113EB,3
PGC_TOL_MVA118GB,2
PGC_TOL_MVA125NB,4
PGC_TOL_MVA126NB,3
PGC_TOL_MVA127MB,3
PGC_TOL_MVA130NB,3
PGC_TOL_MVA134EB,4
PGC_TOL_MVA137NB,3
PGC_TOL_MVA13XB,3
PGC_TOL_MVA140NB,5
PGC_TOL_MVA143AB,5
PGC_TOL_MVA145NB,3
PGC_TOL_MVA146GB,4
PGC_TOL_MVA14RB,5
PGC_TOL_MVA16MB,2
PGC_TOL_MVA17RB,4
PGC_TOL_MVA18EB,4
PGC_TOL_MVA19KB,3
PGC_TOL_MVA21LB,3
PGC_TOL_MVA23LB,4
PGC_TOL_MVA27NB,3
PGC_TOL_MVA29ZB,3
