ID,Num_Indiv_Modules
PGC_NAN_SD1068,3
PGC_NAN_SD1069,4
PGC_NAN_SD1071,4
PGC_NAN_SD1072,3
PGC_NAN_SD1076,2
PGC_NAN_SD1077,4
PGC_NAN_SD1085,4
PGC_NAN_SD1091,3
PGC_NAN_SD1097,3
PGC_NAN_SD1099,3
PGC_NAN_SD1100,3
PGC_NAN_SD1105,3
PGC_NAN_SD1106,4
PGC_NAN_SD1107,3
PGC_NAN_SD1108,4
PGC_NAN_SD1113,3
PGC_NAN_SD1120,3
PGC_NAN_SD1122,3
PGC_NAN_SD1123,3
PGC_NAN_SD1128,2
PGC_NAN_SD1129,4
PGC_NAN_SD1130,2
PGC_NAN_SD1131,5
PGC_NAN_SD1143,4
PGC_NAN_SD1144,5
PGC_NAN_SD1151,3
PGC_NAN_SD1152,3
PGC_NAN_SD1155,3
PGC_NAN_SD1156,3
PGC_NAN_SD1160,3
PGC_NAN_SD1165,3
PGC_NAN_SD1170,2
PGC_NAN_SD1174,3
PGC_NAN_SD1177,4
PGC_NAN_SD1178,4
PGC_NAN_SD1179,4
PGC_NAN_SD1180,4
PGC_NAN_SD1181,5
PGC_NAN_SD1182,4
PGC_NAN_SD1186,4
PGC_NAN_SD1187,3
PGC_NAN_SD1213,3
PGC_NAN_SD1216,3
PGC_NAN_SD1218,3
PGC_NAN_SD1226,3
PGC_NAN_SD1227,4
PGC_NAN_SD1240,3
PGC_NAN_SD1244,4
PGC_NAN_SD1245,4
PGC_NAN_SD1248,3
PGC_NAN_SD1250,3
PGC_NAN_SD1256,3
PGC_NAN_SD1257,3
PGC_NAN_SD1260,3
PGC_NAN_SD1261,3
PGC_NAN_SD1262,4
PGC_NAN_SD1267,4
PGC_NAN_SD1274,3
PGC_NAN_SD1275,4
PGC_NAN_SD1281,3
PGC_NAN_SD1282,4
PGC_NAN_SD1283,3
PGC_NAN_SD1286,3
PGC_NAN_SD1295,3
PGC_NAN_SD1297,4
PGC_NAN_SD1298,4
PGC_NAN_SD1302,4
PGC_NAN_SD1303,4
PGC_NAN_SD1304,4
PGC_NAN_SD1305,4
PGC_NAN_SD1316,4
PGC_NAN_SD1325,3
PGC_NAN_SD1329,2
PGC_NAN_SD1330,4
PGC_NAN_SD1341,3
PGC_NAN_SD1342,3
PGC_NAN_SD1343,4
PGC_NAN_SD1344,3
PGC_NAN_SD1346,3
PGC_NAN_SD1347,4
PGC_NAN_SD1348,2
PGC_NAN_SD1349,4
PGC_NAN_SD1352,5
PGC_NAN_SD1353,3
PGC_NAN_SD1354,2
PGC_NAN_SD1355,3
PGC_NAN_SD1357,5
PGC_NAN_SD1358,4
PGC_NAN_SD1361,4
PGC_NAN_SD1365,4
PGC_NAN_SD1371,3
PGC_NAN_SD1373,3
PGC_NAN_SD1380,3
PGC_NAN_SD1382,3
PGC_NAN_SD1392,2
PGC_NAN_SD1393,4
PGC_NAN_SD1403,3
PGC_NAN_SD1407,3
PGC_NAN_SD1410,3
PGC_NAN_SD1420,3
PGC_NAN_SD1422,5
PGC_NAN_SD1423,4
PGC_NAN_SD1425,2
PGC_NAN_SD1427,2
PGC_NAN_SD1428,3
PGC_NAN_SD1433,3
PGC_NAN_SD1440,4
PGC_NAN_SD1449,3
PGC_NAN_SD1450,5
PGC_NAN_SD1456,4
PGC_NAN_SD1457,3
PGC_NAN_SD1458,4
PGC_NAN_SD1469,4
PGC_NAN_SD1471,5
PGC_NAN_SD1475,3
PGC_NAN_SD1476,3
PGC_NAN_SD1477,4
PGC_NAN_SD1478,3
PGC_NAN_SD1479,4
PGC_NAN_SD1482,3
PGC_NAN_SD1486,5
PGC_NAN_SD1487,3
