C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
1,0.255541708781599,0.224824223194389,0.219780813881602,0.159328174347897,0.269897065055632,0.178320276777809,0.251857344018325,0.197564312770884,0.229443823523817,0.0703478280430156,0.207958368073764,0.256456883755227,0.229500332555707,0.207382707728133,0.22360274062392,0.15654801092125,0.280688260978771,0.214607338403869,0.214055471456975,0.101935301661353,0.272815065853124,0.182516448745699,0.199864494398422,0.187027707440444,0.329488484518366,0.294332096313155,0.193853606844992,0.158626416010269,0.213018535490965,0.311410554160677,0.181184487557064,0.22068465801796,0.152880556139821,0.194915423868353,0.176832666604851,0.164365398390821,0.340005863661065,0.381804947815743,0.128596847205468,0.164991538938238,0.240629543202857
0.255541708781599,1,0.211972766185793,0.217584848624669,0.113916844567198,0.474896820678089,0.164998208479355,0.476625559950157,0.217002880381332,0.25610601953032,0.0799706328477613,0.15295558521521,0.434399774300717,0.319706213632685,0.234778235244805,0.273129159082716,0.193677022870958,0.278067365941067,0.251467561679986,0.300804903509141,0.108988159793336,0.207706168824335,0.19269493276349,0.200400663720333,0.212400072592381,0.20425328570606,0.245027310849517,0.213106395593873,0.150949778056307,0.17812643711912,0.50351089981067,0.179992267009447,0.219564240277188,0.270197482425128,0.18186234940851,0.253246179006262,0.244026370304141,0.264793659668265,0.389111197453701,0.183684090248921,0.200309654858852,0.217190357866647
0.224824223194389,0.211972766185793,1,0.17639638131772,0.116517010372209,0.2357905654017,0.135789148300515,0.230958049862448,0.142789759678243,0.164814368039635,0.0290406170008456,0.210855894259289,0.236572137884504,0.295599700488667,0.555495779443805,0.183401127984931,0.279499069040901,0.249631494436586,0.175209783064256,0.179912923237921,0.102857637791605,0.283617936165137,0.187428521612074,0.169140671138459,0.126448472340581,0.197814178993484,0.525553396665289,0.158019904744482,0.177349421027828,0.143628610091212,0.241569441785577,0.212668596192379,0.177003439794835,0.321028263916703,0.184221770982542,0.262123354827913,0.151601710599879,0.402530754636671,0.177624486086381,0.308778813384051,0.357910517037305,0.31894732437207
0.219780813881602,0.217584848624669,0.17639638131772,1,0.229882566951296,0.19506497260123,0.13719366681301,0.18551955242387,0.156152210353141,0.200211678985345,0.0665251300153522,0.152515860180176,0.188276867566269,0.169006660349008,0.163921410844162,0.179207506281017,0.166464879890373,0.271113457390967,0.175509962858786,0.189283496716216,0.0834650022945439,0.207195945353,0.190042067599396,0.164480994546126,0.136300614664416,0.177993460232596,0.229464663834039,0.202629582021263,0.15824387442486,0.154226693216193,0.273821686032236,0.164064251443857,0.167720477686415,0.11911690555105,0.195139026167118,0.138361013047011,0.173095147992404,0.182256989649675,0.272743167503712,0.088454060227296,0.0891695093561515,0.0819421839978539
0.159328174347897,0.113916844567198,0.116517010372209,0.229882566951296,1,0.104785022036239,0.152147731667042,0.114195587254254,0.120225076292651,0.166165158276132,0.0624111223591867,0.0894246421940303,0.149219605393063,0.158276926426986,0.157980810344109,0.17834485786573,0.255164022959291,0.212322255340698,0.145740946878793,0.0950164674192697,0.181394375062191,0.173021100751703,0.224651362246995,0.211332989659049,0.116509100200043,0.136193764272713,0.21055157306411,0.101924514689167,0.0960087308030335,0.0910631369788964,0.17545323686838,0.100645165575383,0.217689763295649,0.136507417555162,0.143297593087083,0.198115288093553,0.181212378548216,0.172350739642815,0.187787144095505,0.13864843135702,0.144212170366229,0.128160312420049
0.269897065055632,0.474896820678089,0.2357905654017,0.19506497260123,0.104785022036239,1,0.18956936746143,0.611867861100277,0.263478496482219,0.279612762152185,0.0825342097790516,0.181832897739844,0.546919216354224,0.356547305169812,0.260362572069648,0.29219046959276,0.224339548531,0.223137523113612,0.319820679211855,0.374564304260943,0.122428155261378,0.222236638254,0.229403178225044,0.221085391935882,0.256096177289503,0.222729076298963,0.24733437746572,0.200121541685354,0.187284595478494,0.185991696694897,0.418418306539895,0.206044097319454,0.250770159532806,0.29935798527518,0.198364992103341,0.302117350328991,0.299127362982205,0.276909247415944,0.356941078963401,0.207033560306827,0.24953475469892,0.224129728033702
0.178320276777809,0.164998208479355,0.135789148300515,0.13719366681301,0.152147731667042,0.18956936746143,1,0.190696589360899,0.242749979061414,0.249947435111467,0.0895480968716246,0.108028885810988,0.187178883097132,0.214438033347931,0.170466588971549,0.209563649009978,0.150919286417382,0.152211031450398,0.22424708528907,0.269034322748478,0.272636671198116,0.185433378297718,0.179676945518041,0.442889789584597,0.360329110781665,0.164696866191022,0.172930174651691,0.116744239807553,0.102352720765887,0.103776401755235,0.203246087616929,0.112788915381348,0.466410245096054,0.158568021410946,0.156911750299858,0.202360009400118,0.200035838076999,0.167219695355286,0.186114617466079,0.131749034267763,0.146542205006764,0.126639209457003
0.251857344018325,0.476625559950157,0.230958049862448,0.18551955242387,0.114195587254254,0.611867861100277,0.190696589360899,1,0.27642422664036,0.309097982244002,0.0865508191935178,0.176854137391513,0.519393853327794,0.353612303242659,0.258094995043957,0.326958513406147,0.234934204071153,0.235669600879999,0.319697475968514,0.377645413043681,0.139258861264386,0.230745963328787,0.231807463600919,0.219688545712635,0.279459639628701,0.224322692753553,0.241775347661064,0.221980921268907,0.188713245743254,0.187216947821178,0.440838943079472,0.196438232361146,0.24531668800021,0.282879052116093,0.20997379506181,0.296643063229089,0.288820316237051,0.274868142682087,0.371314987837306,0.187091076580084,0.237136371569682,0.233349661666646
0.197564312770884,0.217002880381332,0.142789759678243,0.156152210353141,0.120225076292651,0.263478496482219,0.242749979061414,0.27642422664036,1,0.619273285542338,0.100104644479641,0.145510638630051,0.23214736149824,0.431502678853721,0.164005729046615,0.488518540324145,0.123974965421485,0.182747653568339,0.750249522828682,0.391676533249356,0.236632088494745,0.181065566024256,0.277090722930514,0.488570517518398,0.479558652831091,0.178897220558547,0.170849555840197,0.161544826275969,0.122419562536318,0.144812696882465,0.277965067209282,0.135613692425631,0.428249711906768,0.229518541229879,0.191122911984467,0.252934075644761,0.34209326228062,0.163410708455975,0.253446705628045,0.110751328810223,0.133452435204122,0.121507136224287
0.229443823523817,0.25610601953032,0.164814368039635,0.200211678985345,0.166165158276132,0.279612762152185,0.249947435111467,0.309097982244002,0.619273285542338,1,0.0931591744214346,0.161199606350727,0.254720062860559,0.570224113199514,0.191645124063282,0.675837983499737,0.16469210926079,0.248275234893512,0.614489162154887,0.472791026768229,0.223064908929515,0.222493621964992,0.384087335059531,0.501817377627362,0.410892974572311,0.191392111894505,0.205345364848471,0.220070018235753,0.174742367206412,0.178245527953318,0.353964106968251,0.177555856369972,0.416169885224156,0.333256112262184,0.237568094477239,0.31481846801345,0.385728837275159,0.19517363637095,0.308031867196226,0.131849033097883,0.170704792312767,0.14106473456504
0.0703478280430156,0.0799706328477613,0.0290406170008456,0.0665251300153522,0.0624111223591867,0.0825342097790516,0.0895480968716246,0.0865508191935178,0.100104644479641,0.0931591744214346,1,0.0729082034161776,0.0803060971754798,0.0780092256568352,0.0444264092127892,0.112923145951165,0.0739608539887433,0.0882112441230723,0.0992875618245928,0.103957201496643,0.10515139975698,0.0764317713028039,0.0722157562496811,0.112519600332023,0.0924254416836195,0.0700558279276612,0.0678323389642047,0.0716152012166824,0.0556726158228753,0.0570478924609606,0.0843309285691704,0.0708659512351195,0.132763115464718,0.0563853986109281,0.0637126165869723,0.0762779647670036,0.0980580135080908,0.0655838046642153,0.0973813133775944,0.0605366848218794,0.0513057892819803,0.0500072212816635
0.207958368073764,0.15295558521521,0.210855894259289,0.152515860180176,0.0894246421940303,0.181832897739844,0.108028885810988,0.176854137391513,0.145510638630051,0.161199606350727,0.0729082034161776,1,0.171880745043685,0.226683329386997,0.198113269070934,0.15635223855263,0.219400226602113,0.198938217375395,0.175903688428235,0.156799855790859,0.0707112238496141,0.14382362309325,0.177038962060817,0.142725283519084,0.137172050893211,0.132512682503028,0.229905276485913,0.355282759177546,0.417597863414682,0.570913295064392,0.23127371828757,0.399780487278596,0.142361315896002,0.192058281223715,0.113253405844257,0.182696431529298,0.152797818480557,0.222193921862575,0.231778032903798,0.122561694186877,0.1631694270754,0.133727239883492
0.256456883755227,0.434399774300717,0.236572137884504,0.188276867566269,0.149219605393063,0.546919216354224,0.187178883097132,0.519393853327794,0.23214736149824,0.254720062860559,0.0803060971754798,0.171880745043685,1,0.354708889356987,0.288615789127188,0.273751790448434,0.234403719455542,0.214610838949697,0.289064213201878,0.321351580816018,0.140582608366641,0.233352034983357,0.223448574636393,0.218951120643334,0.238575987588632,0.230413767637257,0.272458693882575,0.187105928948913,0.17035528058672,0.178157972448841,0.390306914930061,0.186543106811866,0.254043588086203,0.311266060822959,0.197044175749808,0.343829603743935,0.322302760440016,0.288637715741483,0.331377293821983,0.21786962379649,0.26927520783228,0.246734913098837
0.229500332555707,0.319706213632685,0.295599700488667,0.169006660349008,0.158276926426986,0.356547305169812,0.214438033347931,0.353612303242659,0.431502678853721,0.570224113199514,0.0780092256568352,0.226683329386997,0.354708889356987,1,0.344446107132399,0.490837167840695,0.330784446602482,0.276499827244628,0.555896953195378,0.334144571779931,0.187080675385753,0.262799912527522,0.415482385758575,0.397996249008534,0.319284431607758,0.190313623828092,0.355387569469977,0.232465829315189,0.20431484072216,0.23957405168474,0.428210176110785,0.236172432034112,0.356382764064445,0.616669242802084,0.162571166228548,0.470614306413857,0.409551668026273,0.297586059013939,0.325784643116136,0.28876852153666,0.388985312561575,0.283717386227839
0.207382707728133,0.234778235244805,0.555495779443805,0.163921410844162,0.157980810344109,0.260362572069648,0.170466588971549,0.258094995043957,0.164005729046615,0.191645124063282,0.0444264092127892,0.198113269070934,0.288615789127188,0.344446107132399,1,0.225637598270801,0.328069482242327,0.236319817154138,0.20516379854448,0.21446560699161,0.126693701519062,0.290187134056816,0.254576155935959,0.193390710158583,0.15948664517584,0.231545657034133,0.605208833774957,0.127780843172003,0.158535718946713,0.125206052016028,0.259190505213988,0.20711097096125,0.206122424383592,0.403517310766949,0.20914458692582,0.369353542630252,0.18312457364566,0.493901544641663,0.158768051792326,0.387758396419948,0.492461173442141,0.441362683263983
0.22360274062392,0.273129159082716,0.183401127984931,0.179207506281017,0.17834485786573,0.29219046959276,0.209563649009978,0.326958513406147,0.488518540324145,0.675837983499737,0.112923145951165,0.15635223855263,0.273751790448434,0.490837167840695,0.225637598270801,1,0.175412510473121,0.241974173613385,0.508578907805673,0.431224094932308,0.22777183577092,0.22608186908616,0.341137116238152,0.400437908634525,0.368526843082912,0.194718611910883,0.223593221438543,0.1920739634534,0.157187574370507,0.142867139232176,0.330762319768805,0.1598581647748,0.368125355410798,0.315303808202656,0.217762046239933,0.312434925394532,0.365584868733565,0.217922827672655,0.290939001124908,0.14845176360304,0.191958039678393,0.164380949018264
0.15654801092125,0.193677022870958,0.279499069040901,0.166464879890373,0.255164022959291,0.224339548531,0.150919286417382,0.234934204071153,0.123974965421485,0.16469210926079,0.0739608539887433,0.219400226602113,0.234403719455542,0.330784446602482,0.328069482242327,0.175412510473121,1,0.192607204157303,0.152246829388964,0.179076223929001,0.139159976264277,0.189807880329286,0.189475990730849,0.182089964391434,0.152828028112718,0.135076795070765,0.304969208929677,0.143216563996335,0.201454356430164,0.170151051166189,0.244483196709544,0.248276657753681,0.200575248863865,0.308845770170127,0.130717473303393,0.259959218356042,0.200242288744678,0.265285144363306,0.204079071599004,0.244271597854092,0.284012866191513,0.255376663250108
0.280688260978771,0.278067365941067,0.249631494436586,0.271113457390967,0.212322255340698,0.223137523113612,0.152211031450398,0.235669600879999,0.182747653568339,0.248275234893512,0.0882112441230723,0.198938217375395,0.214610838949697,0.276499827244628,0.236319817154138,0.241974173613385,0.192607204157303,1,0.232156105244202,0.201477063586017,0.106009360367424,0.280270331527069,0.293884586867486,0.217588811597183,0.178351616875381,0.199477246842,0.356253818425785,0.266385831481958,0.194951502662094,0.226366648388772,0.349183486568319,0.211140717965344,0.212476821744482,0.228970444098102,0.206062040718608,0.252720361209233,0.244899400773998,0.313114850614812,0.320858955087963,0.169914952569492,0.163737953857538,0.156769795224862
0.214607338403869,0.251467561679986,0.175209783064256,0.175509962858786,0.145740946878793,0.319820679211855,0.22424708528907,0.319697475968514,0.750249522828682,0.614489162154887,0.0992875618245928,0.175903688428235,0.289064213201878,0.555896953195378,0.20516379854448,0.508578907805673,0.152246829388964,0.232156105244202,1,0.379437719588282,0.23186799943128,0.228115206255435,0.479527551009204,0.436516398647676,0.41242969794603,0.200747949229791,0.242300230453392,0.196262135025862,0.161016234457036,0.19209460281903,0.358888756895006,0.182227058612889,0.404257299470652,0.335260989936264,0.204318975673699,0.413470965989397,0.470805606620883,0.205983262644506,0.327559944329093,0.176935902539748,0.239318063603268,0.160191296449782
0.214055471456975,0.300804903509141,0.179912923237921,0.189283496716216,0.0950164674192697,0.374564304260943,0.269034322748478,0.377645413043681,0.391676533249356,0.472791026768229,0.103957201496643,0.156799855790859,0.321351580816018,0.334144571779931,0.21446560699161,0.431224094932308,0.179076223929001,0.201477063586017,0.379437719588282,1,0.165320123034649,0.211920373700863,0.219221596909928,0.265259498724971,0.363460011138714,0.182317393867392,0.185731356973807,0.219115387182526,0.183991331029083,0.176997665655254,0.342180979801205,0.166529405346769,0.30415648382145,0.247365471333787,0.222532832721888,0.248620803953374,0.310614407699194,0.18511915364361,0.294312256144912,0.115532846426865,0.168066348519419,0.154198436984145
0.101935301661353,0.108988159793336,0.102857637791605,0.0834650022945439,0.181394375062191,0.122428155261378,0.272636671198116,0.139258861264386,0.236632088494745,0.223064908929515,0.10515139975698,0.0707112238496141,0.140582608366641,0.187080675385753,0.126693701519062,0.22777183577092,0.139159976264277,0.106009360367424,0.23186799943128,0.165320123034649,1,0.128639669432001,0.159740412841275,0.454332510595256,0.199846256002179,0.0990044356131649,0.119006551469997,0.0903107064056365,0.077079633621643,0.069403774299059,0.134970720557943,0.0919073087343068,0.425051839141901,0.128616797710294,0.105077036929112,0.169602694551132,0.21386590755702,0.117745162605531,0.158245498612879,0.0855559684676006,0.10470007176649,0.0870804370740878
0.272815065853124,0.207706168824335,0.283617936165137,0.207195945353,0.173021100751703,0.222236638254,0.185433378297718,0.230745963328787,0.181065566024256,0.222493621964992,0.0764317713028039,0.14382362309325,0.233352034983357,0.262799912527522,0.290187134056816,0.22608186908616,0.189807880329286,0.280270331527069,0.228115206255435,0.211920373700863,0.128639669432001,1,0.30595425695295,0.215360766456161,0.197666021412145,0.352935684683517,0.359172195488068,0.168286539888238,0.147807804537406,0.146516517975954,0.250351496817869,0.135882700354446,0.221856126182982,0.274011859986249,0.283575458477054,0.319010965393391,0.242031126910396,0.30512629284077,0.213087862187807,0.239347796487735,0.261614514387504,0.249245408198449
