"","X1","X2","value","SigStar"
"1","11","X11",NA,NA
"2","22","X11",4.14007307789505,NA
"3","26","X11",-0.256688226121594,NA
"4","35","X11",-1.67895945232333,NA
"5","36","X11",-2.51220541178693,NA
"6","37","X11",-1.63093635442255,NA
"7","40","X11",-1.46577597989097,NA
"8","42","X11",-1.67966616943228,NA
"9","3","X11",-0.00575932087178889,NA
"10","14","X11",-1.56674772885008,NA
"11","15","X11",-2.85731661082947,NA
"12","18","X11",1.90845120611616,NA
"13","23","X11",-2.41272249988581,NA
"14","27","X11",-0.508567917637242,NA
"15","34","X11",-1.51444430481103,NA
"16","38","X11",0.0626074982672956,NA
"17","41","X11",-1.36830443045805,NA
"18","1","X11",-0.350661664785651,NA
"19","12","X11",-0.890310621991825,NA
"20","28","X11",-3.79022678132708,NA
"21","29","X11",-5.98304574014918,NA
"22","30","X11",-2.6422626458291,NA
"23","31","X11",-2.21367134035331,NA
"24","32","X11",-4.56984887297425,NA
"25","39","X11",-1.16853122256497,NA
"26","2","X11",-0.246444744968622,NA
"27","6","X11",-1.42265259775693,NA
"28","8","X11",-2.47873705576129,NA
"29","13","X11",-3.12217469408795,NA
"30","4","X11",-0.203859231609327,NA
"31","5","X11",-0.0660665409574998,NA
"32","17","X11",-0.260408001910094,NA
"33","7","X11",0.33372204653413,NA
"34","9","X11",1.78994319317361,NA
"35","10","X11",-1.48926076656529,NA
"36","16","X11",-0.331843600429457,NA
"37","19","X11",-0.162277263855522,NA
"38","20","X11",-0.167179680036736,NA
"39","21","X11",1.24431237303802,NA
"40","24","X11",1.5669522188746,NA
"41","25","X11",0.489781987844213,NA
"42","33","X11",2.64348717651913,NA
"43","11","X22",4.14007307789505,NA
"44","22","X22",NA,NA
"45","26","X22",-13.5864483229941,"*"
"46","35","X22",-0.947352273104739,NA
"47","36","X22",-1.03309903322476,NA
"48","37","X22",-1.40435936007803,NA
"49","40","X22",-1.90387161217354,NA
"50","42","X22",-0.573501905704713,NA
"51","3","X22",0.0994987642446665,NA
"52","14","X22",-0.398478099698022,NA
"53","15","X22",-1.2298907438907,NA
"54","18","X22",0.785719200978812,NA
"55","23","X22",1.68506390526843,NA
"56","27","X22",0.197665627931714,NA
"57","34","X22",0.242877305916131,NA
"58","38","X22",-0.810299698990804,NA
"59","41","X22",-0.175308982496653,NA
"60","1","X22",-0.158451799242689,NA
"61","12","X22",-2.11583347426925,NA
"62","28","X22",-0.341034971266246,NA
"63","29","X22",-1.11220197321148,NA
"64","30","X22",-1.73669064560991,NA
"65","31","X22",-0.697238121469574,NA
"66","32","X22",-2.27034540968582,NA
"67","39","X22",-1.05694426898329,NA
"68","2","X22",-0.90822667656533,NA
"69","6","X22",-0.784993975139227,NA
"70","8","X22",-1.04272673174415,NA
"71","13","X22",-2.07015679239629,NA
"72","4","X22",2.18567454817573,NA
"73","5","X22",-0.402112529575515,NA
"74","17","X22",-0.584702111675572,NA
"75","7","X22",-4.06041578037027,NA
"76","9","X22",-2.50978468868113,NA
"77","10","X22",-0.0805832362987992,NA
"78","16","X22",-0.625241709790892,NA
"79","19","X22",-2.10686082363644,NA
"80","20","X22",0.578683843767822,NA
"81","21","X22",-4.81795145299779,NA
"82","24","X22",-3.76511244288714,NA
"83","25","X22",-2.9824673579447,NA
"84","33","X22",-3.93716730509258,NA
"85","11","X26",-0.256688226121594,NA
"86","22","X26",-13.5864483229941,"*"
"87","26","X26",NA,NA
"88","35","X26",-0.458451180173074,NA
"89","36","X26",-1.00496931797548,NA
"90","37","X26",-0.600955142504285,NA
"91","40","X26",-1.63234949476772,NA
"92","42","X26",-0.311199831462871,NA
"93","3","X26",-0.598419527326388,NA
"94","14","X26",-0.621356121976818,NA
"95","15","X26",-0.853985488579688,NA
"96","18","X26",0.433938977883756,NA
"97","23","X26",0.0651759164789728,NA
"98","27","X26",-1.39006403958574,NA
"99","34","X26",-0.53870410038857,NA
"100","38","X26",-0.700102755448715,NA
"101","41","X26",-0.585581771857378,NA
"102","1","X26",0.261975298473954,NA
"103","12","X26",-0.439599588036872,NA
"104","28","X26",-0.980433002259843,NA
"105","29","X26",-1.04009822468583,NA
"106","30","X26",-0.572002732049959,NA
